bin,bank,country,type,level
497074,LA BANQUE POSTALE,FRANCE,Debit,PREPAID
497160,HSBC FRANCE,FRANCE,Debit,CLASSIC
497202,LCL BANQUE,FRANCE,Debit,GOLD
497203,LCL BANQUE,FRANCE,Debit,CLASSIC
497227,LCL BANQUE,FRANCE,Credit,INFINITE
497237,LCL BANQUE,FRANCE,Debit,CLASSIC
497278,LCL BANQUE,FRANCE,Credit,GOLD
497291,LCL BANQUE,FRANCE,Credit,CLASSIC
497301,SOCIETE GENERALE, S.A.,FRANCE,Credit,CLASSIC
497355,SOCIETE GENERALE, S.A.,FRANCE,Debit,CLASSIC
497380,NATIXIS,FRANCE,Debit,CLASSIC
497401,BNP PARIBAS,FRANCE,Debit,CLASSIC
497402,BNP PARIBAS,FRANCE,Credit,CLASSIC
497408,BNP PARIBAS,FRANCE,Credit,BUSINESS
497410,BNP PARIBAS,FRANCE,Debit,ELECTRON
497413,BNP PARIBAS,FRANCE,Credit,INFINITE
497414,BNP PARIBAS,FRANCE,Debit,GOLD
497490,BNP PARIBAS,FRANCE,Credit,GOLD
497600,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,CLASSIC
497601,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,CLASSIC
497602,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,CLASSIC
497606,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,CLASSIC
497608,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,CLASSIC
497626,BPCE,FRANCE,Debit,CLASSIC
497696,BNP PARIBAS,FRANCE,Debit,CLASSIC
497711,CAISSE CENTRALE DE CREDIT MUTUEL,FRANCE,Debit,CLASSIC
497739,CAISSE CENTRALE DE CREDIT MUTUEL,FRANCE,Credit,GOLD
497756,CAISSE CENTRALE DE CREDIT MUTUEL,FRANCE,Debit,CLASSIC
497762,CAISSE CENTRALE DE CREDIT MUTUEL,FRANCE,Credit,GOLD
497783,CAISSE CENTRALE DE CREDIT MUTUEL,FRANCE,Debit,CLASSIC
497801,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Debit,CLASSIC
497804,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Debit,GOLD
497814,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Credit,GOLD
497827,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Credit,GOLD
497856,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Credit,CLASSIC
497864,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Credit,CLASSIC
497874,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Debit,CLASSIC
497886,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Debit,CLASSIC
497887,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Debit,GOLD
497892,CAISSE NATIONALE DES CAISSES D'EPARGNE (CNCE),FRANCE,Credit,PLATINUM
497940,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,GOLD
497943,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Credit,GOLD
497948,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Credit,GOLD
497999,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,Debit,GOLD
498360,CAISSE DES DEPOTS ET CONSIGNATIONS,FRANCE,Debit,CLASSIC
499001,NATIXIS,FRANCE,Debit,CLASSIC
499010,NATIXIS,FRANCE,Debit,GOLD
499011,NATIXIS,FRANCE,Credit,CLASSIC
499022,NATIXIS,FRANCE,Debit,CLASSIC
499023,NATIXIS,FRANCE,Debit,GOLD
499043,FRANCE,FRANCE,Debit,CLASSIC
513024,CREDIT MUTUEL ARKEA,FRANCE,Debit,STANDARD
513107,CREDIT AGRICOLE, S.A.,FRANCE,Credit,PROFESSIONAL
513108,CREDIT AGRICOLE, S.A.,FRANCE,Credit,GOLD
513130,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513138,CREDIT AGRICOLE, S.A.,FRANCE,Credit,STANDARD
513142,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513162,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513163,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513165,CREDIT AGRICOLE, S.A.,FRANCE,Debit,GOLD
513234,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,STANDARD
513239,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513263,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,STANDARD
513269,CREDIT MUTUEL ARKEA,FRANCE,Credit,MIXED PRODUCT
513277,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513283,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513286,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Credit,MIXED PRODUCT
513320,SOCIETE GENERALE,FRANCE,Credit,GOLD
513365,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513379,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,STANDARD
513380,SOCIETE GENERALE,FRANCE,Debit,STANDARD
513381,SOCIETE GENERALE,FRANCE,Debit,GOLD
513414,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513418,CREDIT AGRICOLE, S.A.,FRANCE,Debit,PLATINUM
513621,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Credit,MIXED PRODUCT
513623,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Credit,STANDARD
513632,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Credit,WORLD
513640,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513641,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513646,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513647,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513648,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513668,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Credit,MIXED PRODUCT
513690,BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM),FRANCE,Debit,GOLD
513770,CREDIT AGRICOLE, S.A.,FRANCE,Debit,STANDARD
513771,CREDIT AGRICOLE, S.A.,
343440,American Express
375231,American Express
341796,American Express
375969,American Express
345862,American Express
305228,Diners
304268,Diners
363496,Diners
388176,Diners
300849,Diners
601152,Discov
601140,Discov
601151,Discov
601117,Discov
601168,Discov
354761,JCB
354112,JCB
353397,JCB
352825,JCB
354176,JCB
523079,Master
531123,Master
554444,Master
549800,Master
516906,Master
498252,Visa
446707,Visa
416636,Visa
497015,Visa
453406,Visa
